label,clase,variable,mean,median,std,p25,p75,p95
0,no_incendio,SR_B5,0.286801,0.282178,0.081343,0.222173,0.34714,0.437982
0,no_incendio,SR_B6,0.210816,0.211476,0.070478,0.155492,0.258322,0.335624
0,no_incendio,SR_B7,0.12342,0.115721,0.054049,0.082391,0.151309,0.226203
0,no_incendio,NDVI,0.623455,0.67082,0.159481,0.541766,0.733364,0.813143
0,no_incendio,EVI,0.385376,0.382006,0.132553,0.292695,0.474742,0.608549
0,no_incendio,NBR,0.159601,0.181561,0.163009,0.04393,0.281366,0.399296
0,no_incendio,NDWI,-0.613077,-0.644478,0.114967,-0.692958,-0.559845,-0.389928
1,incendio,SR_B5,0.154063,0.134524,0.065458,0.110214,0.179211,0.300051
1,incendio,SR_B6,0.131559,0.120485,0.050841,0.097065,0.155878,0.222443
1,incendio,SR_B7,0.102897,0.088688,0.063487,0.063976,0.11471,0.210961
1,incendio,NDVI,0.476325,0.477621,0.168316,0.357887,0.606551,0.749536
1,incendio,EVI,0.197722,0.171655,0.104831,0.124939,0.242622,0.43475
1,incendio,NBR,0.073159,0.085874,0.151289,-0.022845,0.182978,0.289644
1,incendio,NDWI,-0.498364,-0.510736,0.137525,-0.611401,-0.393622,-0.269746
