label,clase,variable,count,mean,median,std,min,p05,p25,p50,p75,p95,max,range,iqr,cv,skewness,kurtosis
0,no_incendio,SR_B5,170,0.286801,0.282178,0.081343,0.07973,0.167921,0.222173,0.282178,0.34714,0.437982,0.494952,0.415223,0.124967,0.283622,0.25991,-0.473973
0,no_incendio,SR_B6,170,0.210816,0.211476,0.070478,0.063615,0.099656,0.155492,0.211476,0.258322,0.335624,0.439568,0.375953,0.102829,0.33431,0.232849,-0.123843
0,no_incendio,SR_B7,170,0.12342,0.115721,0.054049,0.03276,0.051927,0.082391,0.115721,0.151309,0.226203,0.326982,0.294222,0.068918,0.43793,0.755497,0.46342
0,no_incendio,NDVI,170,0.623455,0.67082,0.159481,0.135164,0.309838,0.541766,0.67082,0.733364,0.813143,0.864327,0.729163,0.191598,0.255801,-0.967631,0.381662
0,no_incendio,EVI,170,0.385376,0.382006,0.132553,0.090971,0.162861,0.292695,0.382006,0.474742,0.608549,0.666025,0.575054,0.182047,0.343958,-0.056099,-0.590517
0,no_incendio,NBR,170,0.159601,0.181561,0.163009,-0.238077,-0.106189,0.04393,0.181561,0.281366,0.399296,0.431605,0.669682,0.237436,1.021357,-0.383052,-0.754998
0,no_incendio,NDWI,170,-0.613077,-0.644478,0.114967,-0.82691,-0.75242,-0.692958,-0.644478,-0.559845,-0.389928,-0.228875,0.598035,0.133113,-0.187525,0.986978,0.693625
1,incendio,SR_B5,170,0.154063,0.134524,0.065458,0.051542,0.084525,0.110214,0.134524,0.179211,0.300051,0.37651,0.324967,0.068998,0.424877,1.364767,1.684917
1,incendio,SR_B6,170,0.131559,0.120485,0.050841,0.046345,0.068488,0.097065,0.120485,0.155878,0.222443,0.353162,0.306817,0.058812,0.386455,1.352701,3.042657
1,incendio,SR_B7,170,0.102897,0.088688,0.063487,0.023355,0.044703,0.063976,0.088688,0.11471,0.210961,0.472347,0.448992,0.050734,0.616993,2.990554,12.749723
1,incendio,NDVI,170,0.476325,0.477621,0.168316,0.143008,0.203271,0.357887,0.477621,0.606551,0.749536,0.825501,0.682494,0.248664,0.353363,0.010275,-0.877395
1,incendio,EVI,170,0.197722,0.171655,0.104831,0.029208,0.066853,0.124939,0.171655,0.242622,0.43475,0.558361,0.529152,0.117684,0.530196,1.200376,1.444121
1,incendio,NBR,170,0.073159,0.085874,0.151289,-0.421298,-0.181406,-0.022845,0.085874,0.182978,0.289644,0.393456,0.814754,0.205824,2.067936,-0.676174,0.877421
1,incendio,NDWI,170,-0.498364,-0.510736,0.137525,-0.796448,-0.699275,-0.611401,-0.510736,-0.393622,-0.269746,-0.21052,0.585928,0.217779,-0.275953,0.107335,-0.864749
